"State Code","Year","Beach ID","Beach Name","County","Swim SeasonStart Date","Swim SeasonEnd Date","ReportingFrequency","ReportingUnits","Activity Sample","Actual StartDate","Actual StopDate","Action Duration","Description Text","Comment Text","Action Reason","Action Source","Action Indicator"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","28-AUG-14","28-AUG-14","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","19-AUG-14","19-AUG-14","1","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","20-AUG-14","20-AUG-14","1","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","20-AUG-03","21-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","05-AUG-03","06-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Closed","11-AUG-03","12-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","14-AUG-03","15-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","30-JUL-03","31-JUL-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Closed","31-JUL-03","01-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","09-JUL-03","10-JUL-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","14-JUL-03","15-JUL-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","28-JUL-03","29-JUL-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","23-JUN-03","24-JUN-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","25-JUN-03","26-JUN-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","07-JUL-03","08-JUL-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Closed","04-AUG-03","05-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","11-JUN-03","12-JUN-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","16-JUN-03","17-JUN-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","18-JUN-03","19-JUN-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","12-JUN-01","19-JUN-01","7","-","-","ELEV_BACT","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","21-JUN-00","27-JUN-00","6","-","-","ELEV_BACT","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","21-JUN-00","27-JUN-00","6","-","-","RAINFALL","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","09-AUG-01","17-AUG-01","8","-","-","ELEV_BACT","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","26-JUL-00","03-AUG-00","8","-","-","ELEV_BACT","UNKNOWN","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","16-AUG-00","24-AUG-00","8","-","-","RAINFALL","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","16-AUG-00","24-AUG-00","8","-","-","ELEV_BACT","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","25-JUL-06","26-JUL-06","2","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","18-JUL-06","19-JUL-06","2","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CLOSURE","27-JUL-06","30-JUL-06","4","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CLOSURE","20-JUL-06","24-JUL-06","5","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","02-AUG-01","07-AUG-01","5","-","-","ELEV_BACT","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","10-JUN-04","10-JUN-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","15-JUN-04","15-JUN-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","22-JUN-04","22-JUN-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","04-JUN-04","04-JUN-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","24-AUG-04","24-AUG-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CLOSURE","07-JUL-04","07-JUL-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","22-JUL-04","22-JUL-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","29-JUL-04","29-JUL-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CLOSURE","05-AUG-04","05-AUG-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","21-JUL-11","21-JUL-11","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
